id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
639,275,122,123,111,151,United States,Lawn Care & Lawn Maintenance,Green Industry,54,10,341,780,277,50,0,0,0,8,29,1,,32,0,0,0,18.51851851851852,0.437,1.231,6.82,2.287,2.816,15.6,0.812,0.355,5.54,0.147,0.064,0.181,2,2,false,Intuit,campaign(intuit_appcenter|try_buy),"",165,171,,true,false,true,false,true,0.0,jobber_basic_subscription_39,false,false
356,1117,32,12,12,15,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,34,196,144,136,3,0,0,6,46,1,,61,43,4,3,0.0,0.173,0.236,0.25,5.765,1.361,1.441,4.235,0.735,1.059,4.0,0.694,0.944,193,7,false,Organic Search,organic(google),"",4,9,261,false,false,false,false,false,29.0,base_plan_usd,false,true
640,529,59,59,201,63,United States,Renovations,Other,23,3,259,246,29,138,9,0,0,17,27,2,8,0,40,8,6,13.043478260869565,1.053,8.931,1.877,0.95,8.483,1.783,0.112,0.118,0.21,0.533,0.561,4.759,201,5,false,Organic Search,organic(google),"",45,185,,true,true,true,true,false,56.0,base_plan_usd,false,false
641,61,,,,,United States,Pest Control,Other,2,1,0,0,0,0,1,0,1,6,16,0,,2,20,6,4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,13,false,Organic Search,organic(google),0,,,,false,true,false,true,true,39.0,jobber_basic_subscription_39,false,false
642,226,3,3,,,Canada,Residential Cleaning,Cleaning,15,10,317,266,0,0,1,0,0,14,29,1,,0,40,30,5,66.66666666666666,1.192,0.0,0.0,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,0,false,Paid Listing,campaign(capterra|capterra_service_dispatch),"",0,,,true,false,true,true,false,152.0,jobber_basic_subscription_39,false,true
643,301,43,75,,,Other,Residential Cleaning,Cleaning,3,0,40,15,0,0,0,0,0,6,20,0,8,2,27,1,0,0.0,2.667,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,25,false,Organic Search,organic(google),"",301,,,false,false,true,true,true,39.0,jobber_basic_subscription_39,false,false
644,103,77,98,,,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,6,152,0,0,1,0,1,11,21,0,,61,43,4,3,0.0,0.039,0.0,0.0,25.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,77,false,Organic Search,organic(google),20,77,,,false,true,true,true,false,48.0,jobber_basic_subscription_39,false,false
645,440,35,76,186,,United States,Residential Cleaning,Cleaning,4,0,332,163,754,0,5,0,0,7,28,1,7,32,0,1,0,0.0,2.037,0.44,0.0,0.491,0.216,0.0,2.271,4.626,0.0,0.0,0.0,0.0,49,0,false,Paid Search,campaign(adwords),"",,182,,false,true,false,false,true,0.0,jobber_basic_subscription_39,false,false
646,319,180,102,180,102,United States,Security and Alarm,Hi Tech,4,4,3,99,3,185,3,0,0,9,26,1,1,0,41,2,0,100.0,0.03,1.0,0.016,33.0,33.0,0.535,1.0,0.03,0.016,61.667,1.869,61.667,130,21,false,Paid Listing,campaign(capterra|capterra_security_system_installer|security system intaller),"",193,,,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,false
19,314,4,7,3,6,United States,Lawn Care & Lawn Maintenance,Green Industry,3,2,153,180,412,78,6,0,0,14,29,0,,61,43,4,3,66.66666666666666,0.85,0.371,1.962,1.176,0.437,2.308,2.693,2.289,5.282,0.51,0.433,0.189,171,7,false,Direct,direct,"",220,3,3,true,true,true,true,false,58.0,jobber_basic_subscription_39,false,true
647,287,,81,5,81,United States,Lawn Care & Lawn Maintenance,Green Industry,3,2,0,50,23,3,0,0,0,11,23,0,,61,43,4,3,66.66666666666666,0.0,0.0,0.0,0.0,2.174,16.667,0.0,0.46,7.667,0.0,0.06,0.13,191,5,false,Internal,linked_by(getjobber.com),"",282,33,,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,true
648,348,68,50,1,194,Other,Residential Cleaning,Cleaning,4,0,95,109,401,42,0,0,0,5,19,0,,61,38,2,0,0.0,0.872,0.237,2.262,1.147,0.272,2.595,4.221,3.679,9.548,0.442,0.385,0.105,238,7,false,Direct,direct,"",,1,,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,true
342,121,,,,,United States,Snow Removal,Other,1,1,0,0,0,0,1,0,0,9,17,0,,1,28,2,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,false,Organic Search,organic(google),60,102,,,false,false,false,false,false,39.0,jobber_basic_subscription_39,false,false
649,554,195,195,97,271,United States,Lawn Care & Lawn Maintenance,Green Industry,3,0,19,18,65,8,3,0,0,9,35,1,,32,0,5,4,0.0,1.056,0.292,2.375,0.947,0.277,2.25,3.421,3.611,8.125,0.421,0.444,0.123,216,29,false,Paid Search,campaign(adwords),"",526,95,95,true,false,false,true,true,0.0,base_plan_usd,false,false
650,348,173,119,26,,Canada,Lawn Care & Lawn Maintenance,Green Industry,0,0,10,12,1,0,2,0,0,10,23,0,,61,43,4,3,0.0,0.833,10.0,0.0,1.2,12.0,0.0,0.1,0.083,0.0,0.0,0.0,0.0,119,12,true,Organic Search,organic(google),"",265,,,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,true
502,269,5,8,211,96,United States,Pest Control,Other,2,1,482,654,29,7,0,0,0,5,17,0,,61,43,0,0,50.0,0.737,16.621,68.857,1.357,22.552,93.429,0.06,0.044,4.143,0.015,0.011,0.241,193,0,false,Paid Search,campaign(adwords),"",269,211,,true,false,true,true,false,51.0,jobber_basic_subscription_39,false,true
651,61,54,54,,,United States,Carpet Cleaning,Cleaning,0,0,1,2,0,0,1,0,1,7,15,0,,32,0,1,0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,16,false,Organic Search,organic(yahoo),20,61,,,false,true,false,true,true,0.0,jobber_basic_subscription_39,false,false
652,468,0,0,90,5,United States,Electrical Contractor,Trade,14,7,2230,52,1672,60,6,0,0,11,20,2,,0,42,0,0,50.0,42.885,1.334,37.167,0.023,0.031,0.867,0.75,32.154,27.867,0.027,1.154,0.036,398,1,false,Organic Search,organic(google),"",7,82,,true,false,true,true,false,75.0,jobber_basic_subscription_39,false,true
653,287,2,2,2,1,United States,Construction & Contracting,Trade,8,7,33,103,66,59,0,0,0,8,24,0,,61,43,1,0,87.5,0.32,0.5,0.559,3.121,1.561,1.746,2.0,0.641,1.119,1.788,0.573,0.894,140,2,false,Internal,linked_by(getjobber.com),"",,1,,true,false,true,true,false,80.0,jobber_basic_subscription_39,false,true
654,701,148,172,97,148,United States,Lawn Care & Lawn Maintenance,Green Industry,2,2,186,213,366,301,9,0,0,15,48,1,10,32,0,14,12,100.0,0.873,0.508,0.618,1.145,0.582,0.708,1.968,1.718,1.216,1.618,1.413,0.822,8,8,false,Paid Listing,campaign(capterra|capterra_landscape),"",154,77,77,true,true,false,true,true,0.0,base_plan_usd,false,false
655,323,78,24,,23,United States,Security and Alarm,Hi Tech,1,1,4,10,0,10,1,0,0,8,15,0,,32,0,0,0,100.0,0.4,0.0,0.4,2.5,0.0,1.0,0.0,0.0,0.0,2.5,1.0,0.0,10,8,false,Organic Search,organic(google),30,99,,,false,true,false,true,true,0.0,jobber_basic_subscription_39,false,false
308,266,1,1,1,30,United States,Residential Cleaning,Cleaning,38,5,311,179,458,22,2,0,0,11,23,0,,61,29,1,0,13.157894736842104,1.737,0.679,14.136,0.576,0.391,8.136,1.473,2.559,20.818,0.071,0.123,0.048,136,4,false,Unknown,-,"",68,1,,true,false,false,true,false,39.0,jobber_basic_subscription_39,false,true
656,301,,206,,,United States,Commercial Cleaning,Cleaning,2,0,0,8,0,0,0,0,0,9,23,4,,61,43,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,10,false,Paid Search,campaign(bingads|bingads),"",,,,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,false
657,92,34,31,,,United States,Commercial Cleaning,Cleaning,16,0,1,29,0,0,1,0,1,9,18,1,,2,17,1,0,0.0,0.034,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,10,false,Trade Show,campaign(ISSA|booth_path),20,80,,,false,false,true,true,true,62.0,jobber_basic_subscription_39,false,false
658,61,28,42,42,42,United States,Construction & Contracting,Trade,3,2,6,3,2,1,0,0,0,6,15,0,,2,2,2,1,66.66666666666666,2.0,3.0,6.0,0.5,1.5,3.0,0.333,0.667,2.0,0.167,0.333,0.5,2,2,true,Unknown,-,70,42,42,,false,true,true,false,true,39.0,jobber_basic_subscription_39,false,false
659,315,,276,,,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,0,41,0,0,1,0,0,11,26,0,,31,24,4,3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,24,false,Organic Search,organic(google),"",,,,false,true,false,true,true,48.0,jobber_basic_subscription_39,false,false
660,442,81,81,106,,United States,Computers & IT,Hi Tech,5,0,58,193,3,0,5,0,0,10,17,0,,31,24,0,0,0.0,0.301,19.333,0.0,3.328,64.333,0.0,0.052,0.016,0.0,0.0,0.0,0.0,65,24,false,Intuit,campaign(intuit_appcenter|try_buy),80,135,241,,false,false,true,false,true,48.0,jobber_basic_subscription_39,false,false
661,122,,13,,,United States,Carpet Cleaning,Cleaning,2,2,0,2313,0,0,2,0,0,8,21,2,,31,3,7,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2,false,Organic Search,organic(google),40,,,,true,true,true,true,true,71.0,jobber_basic_subscription_39,false,false
662,236,25,61,26,,United States,Residential Cleaning,Cleaning,7,0,4,1262,1,0,1,0,3,15,19,0,,50,1,3,0,0.0,0.003,4.0,0.0,315.5,1262.0,0.0,0.25,0.001,0.0,0.0,0.0,0.0,19,19,false,Referral,linked_by(cleaningbusinesstoday.com),10,,26,,false,false,false,true,false,53.0,jobber_basic_subscription_39,false,false
663,92,64,57,,,United States,Electrical Contractor,Trade,5,2,5,155,0,0,7,0,1,14,24,0,,32,0,0,0,40.0,0.032,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,31,false,Organic Search,organic(google),30,60,,,false,true,true,true,true,0.0,jobber_basic_subscription_39,false,false
664,256,,,,,United States,Lawn Care & Lawn Maintenance,Green Industry,3,2,0,0,0,0,2,0,0,10,21,0,,61,43,0,0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143,13,false,Unknown,-,"",,,,false,true,false,true,false,44.0,jobber_basic_subscription_39,false,false
293,1038,709,341,939,158,United States,Lawn Care & Lawn Maintenance,Green Industry,5,5,46,98,1,775,0,0,0,2,41,1,,32,0,0,0,100.0,0.469,46.0,0.059,2.13,98.0,0.126,0.022,0.01,0.001,16.848,7.908,775.0,15,16,false,Direct,direct,"",909,,,false,true,false,false,true,0.0,base_plan_usd,false,false
665,166,23,19,15,19,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,73,66,192,18,2,0,0,10,18,0,,61,43,4,3,0.0,1.106,0.38,4.056,0.904,0.344,3.667,2.63,2.909,10.667,0.247,0.273,0.094,114,19,false,Direct,direct,"",31,15,26,false,false,false,true,false,44.0,jobber_basic_subscription_39,false,true
666,452,13,33,249,103,United States,Renovations,Other,6,3,264,1923,1,18,1,0,0,6,21,1,9,61,43,1,0,50.0,0.137,264.0,14.667,7.284,1923.0,106.833,0.004,0.001,0.056,0.068,0.009,18.0,69,13,false,Intuit,campaign(intuit_appcenter|try_buy),"",146,,,true,true,true,false,false,84.0,jobber_basic_subscription_39,false,true
667,806,2,17,2,2,Other,HVAC,Trade,11,3,534,513,794,800,0,0,0,2,32,1,,61,43,2,0,27.27272727272727,1.041,0.673,0.668,0.961,0.646,0.641,1.487,1.548,0.993,1.498,1.559,1.008,259,2,false,Free Listing,linked_by(capterra.com),"",151,3,,true,false,false,true,false,61.0,base_plan_usd,false,true
216,612,3,14,8,41,Other,Residential Cleaning,Cleaning,3,3,87,60,47,15,1,0,0,12,39,1,,61,43,12,3,100.0,1.45,1.851,5.8,0.69,1.277,4.0,0.54,0.783,3.133,0.172,0.25,0.319,125,4,false,Paid Search,campaign(adwords),"",569,36,,true,true,true,true,false,61.0,base_plan_usd,false,false
668,103,16,20,4,37,United States,Other,Other,0,0,66,906,57,14,1,0,0,9,18,0,,50,38,0,0,0.0,0.073,1.158,4.714,13.727,15.895,64.714,0.864,0.063,4.071,0.212,0.015,0.246,68,6,false,Organic Search,organic(google),90,83,4,27,true,true,true,true,false,58.0,jobber_basic_subscription_39,false,true
669,457,222,222,,416,United States,Plumbing,Trade,4,4,2,1463,0,1,2,0,2,9,29,1,,31,28,0,0,100.0,0.001,0.0,2.0,731.5,0.0,1463.0,0.0,0.0,0.0,0.5,0.001,0.0,216,28,false,Paid Search,campaign(adwords),"",,,,false,true,true,true,true,75.0,jobber_basic_subscription_39,false,false
670,153,58,58,89,,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,10,8,2,0,1,0,0,8,21,0,8,32,0,4,3,100.0,1.25,5.0,0.0,0.8,4.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0,70,7,false,Direct,direct,"",,89,,true,true,false,true,true,0.0,jobber_basic_subscription_39,false,false
565,349,285,278,279,278,United States,Handyman,Other,8,6,142,3678,55,96,5,0,0,30,49,0,,32,0,6,0,75.0,0.039,2.582,1.479,25.901,66.873,38.313,0.387,0.015,0.573,0.676,0.026,1.745,251,4,false,Intuit,linked_by(appcenter.intuit.com),"",284,282,,false,false,true,true,true,0.0,jobber_basic_subscription_39,false,false
281,305,70,92,26,249,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,5,7,17,5,2,0,0,18,32,0,,31,28,4,3,0.0,0.714,0.294,1.0,1.4,0.412,1.4,3.4,2.429,3.4,1.0,0.714,0.294,145,28,false,Paid Listing,campaign(capterra|capterra_landscape),"",70,26,,false,true,false,true,true,44.0,jobber_basic_subscription_39,false,false
671,396,19,78,19,371,United States,Networking & Communication,Hi Tech,6,3,291,7,292,1,2,0,1,21,40,0,,61,43,8,3,50.0,41.571,0.997,291.0,0.024,0.024,7.0,1.003,41.714,292.0,0.003,0.143,0.003,252,11,false,Paid Search,campaign(adwords),"",52,35,,true,true,true,true,false,58.0,jobber_basic_subscription_39,false,false
672,655,41,41,41,198,United States,Lawn Care & Lawn Maintenance,Green Industry,2,0,33,31,75,5,1,0,2,4,29,1,,61,33,5,4,0.0,1.065,0.44,6.6,0.939,0.413,6.2,2.273,2.419,15.0,0.152,0.161,0.067,258,10,false,Organic Search,organic(google),"",272,41,,false,false,false,true,false,29.0,base_plan_usd,false,true
673,503,105,42,7,65,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,8,45,91,14,5,0,0,16,36,1,,61,43,0,0,0.0,0.178,0.088,0.571,5.625,0.495,3.214,11.375,2.022,6.5,1.75,0.311,0.154,259,7,false,Unknown,-,"",65,8,,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,true
674,133,14,14,18,,United States,Commercial Cleaning,Cleaning,11,7,16,7,1,0,7,0,0,23,38,2,,32,0,0,0,63.63636363636363,2.286,16.0,0.0,0.438,7.0,0.0,0.063,0.143,0.0,0.0,0.0,0.0,22,8,false,Paid Search,campaign(adwords),30,14,15,,false,true,false,false,true,0.0,jobber_basic_subscription_39,false,false
675,610,9,9,9,120,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,233,402,500,1,2,0,0,9,20,1,7,52,29,4,3,100.0,0.58,0.466,233.0,1.725,0.804,402.0,2.146,1.244,500.0,0.004,0.002,0.002,42,9,false,Organic Search,organic(google),"",124,6,,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,true
676,183,58,58,58,174,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,17,16,47,1,0,0,0,2,14,0,,31,30,4,3,0.0,1.063,0.362,17.0,0.941,0.34,16.0,2.765,2.938,47.0,0.059,0.063,0.021,160,30,false,Organic Search,organic(bing),"",121,50,,false,true,true,true,true,48.0,jobber_basic_subscription_39,false,false
29,289,90,14,14,267,United States,Lawn Care & Lawn Maintenance,Green Industry,4,0,32,67,210,4,0,0,0,11,25,0,,61,43,4,3,0.0,0.478,0.152,8.0,2.094,0.319,16.75,6.563,3.134,52.5,0.125,0.06,0.019,146,7,false,Organic Search,organic(yahoo),"",,7,12,true,false,false,true,false,44.0,jobber_basic_subscription_39,false,true
677,30,,29,,29,United States,Renovations,Other,4,1,0,6,0,3,1,0,1,7,12,0,,2,0,1,0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0,1,false,Direct,direct,50,,,,false,false,true,true,true,75.0,jobber_basic_subscription_39,false,false
